12-11 10:03:21: New best reward 12.0 (-100.0%) at episode 0, saving model...
12-11 10:07:58: New best reward 18.0 (+50.0%) at episode 5, saving model...
12-11 10:14:25: New best reward 27.0 (+50.0%) at episode 22, saving model...
12-11 10:26:41: New best reward 39.0 (+44.4%) at episode 58, saving model...
12-11 10:39:32: New best reward 45.0 (+15.4%) at episode 130, saving model...
12-11 10:52:17: New best reward 62.0 (+37.8%) at episode 212, saving model...
12-11 11:07:08: New best reward 74.0 (+19.4%) at episode 355, saving model...
12-11 11:22:44: New best reward 103.0 (+39.2%) at episode 518, saving model...
12-11 11:37:11: New best reward 121.0 (+17.5%) at episode 733, saving model...
12-11 11:45:59: New best reward 148.0 (+22.3%) at episode 934, saving model...
12-11 11:57:20: New best reward 176.0 (+18.9%) at episode 1260, saving model...
12-11 12:08:35: New best reward 219.0 (+24.4%) at episode 1645, saving model...
12-11 12:19:43: New best reward 288.0 (+31.5%) at episode 2089, saving model...
12-11 12:30:14: New best reward 346.0 (+20.1%) at episode 2551, saving model...
12-11 12:39:41: New best reward 417.0 (+20.5%) at episode 2893, saving model...
12-11 12:47:56: New best reward 506.0 (+21.3%) at episode 3330, saving model...
12-11 12:52:38: New best reward 612.0 (+21.0%) at episode 3895, saving model...
12-11 12:55:12: New best reward 715.0 (+16.8%) at episode 4299, saving model...
12-11 12:57:04: New best reward 891.0 (+24.6%) at episode 4660, saving model...
12-11 12:59:27: New best reward 1054.0 (+18.3%) at episode 5084, saving model...
12-11 13:00:55: New best reward 1346.0 (+27.7%) at episode 5391, saving model...
12-11 13:02:22: New best reward 1778.0 (+32.1%) at episode 5837, saving model...
12-11 13:03:10: New best reward 2045.0 (+15.0%) at episode 6210, saving model...
12-11 13:04:44: New best reward 2362.0 (+15.5%) at episode 6625, saving model...
12-11 13:05:51: New best reward 2711.0 (+14.8%) at episode 6978, saving model...
12-11 13:06:43: New best reward 3089.0 (+13.9%) at episode 7420, saving model...
